X,Y,OBS,RTO09,RTO11,RTO13,ALT,IV1101,XCOORD,YCOORD
316691.5,6276687.5,147.00,2483.93504,2828.19004,3204.00,499.95890,0.51732,316691.500000,6276687.500000
316709.5,6276687.5,148.00,2872.80224,2656.87229,2565.00,500.15370,0.52021,316709.500000,6276687.500000
316718.5,6276687.5,149.00,2463.72077,2669.03689,2507.00,500.25850,0.52462,316718.500000,6276687.500000
316727.5,6276687.5,150.00,2893.60783,2768.38866,2623.00,500.36250,0.53262,316727.500000,6276687.500000
316736.5,6276687.5,151.00,2311.93680,2829.45464,2511.00,500.46250,0.54139,316736.500000,6276687.500000
316745.5,6276687.5,152.00,1703.94344,2864.82563,3047.00,500.60255,0.54979,316745.500000,6276687.500000
316754.5,6276687.5,153.00,2165.48888,3033.12318,3074.00,500.73620,0.55587,316754.500000,6276687.500000
316763.5,6276687.5,154.00,1987.24550,2899.70978,3475.00,500.82230,0.56033,316763.500000,6276687.500000
316772.5,6276687.5,155.00,2679.87948,2939.15980,3849.00,500.90310,0.56585,316772.500000,6276687.500000
316781.5,6276687.5,156.00,2865.44796,2471.53193,3797.00,500.97070,0.57179,316781.500000,6276687.500000
316790.5,6276687.5,157.00,2991.22066,2774.90827,3602.00,501.01550,0.57691,316790.500000,6276687.500000
316799.5,6276687.5,158.00,3125.05833,3226.28994,4216.00,501.04770,0.58206,316799.500000,6276687.500000
316817.5,6276687.5,159.00,3041.13824,3200.08478,3846.00,501.10160,0.58345,316817.500000,6276687.500000
316826.5,6276687.5,160.00,3123.79466,2820.82243,3499.00,501.12810,0.58000,316826.500000,6276687.500000
316835.5,6276687.5,161.00,3730.43284,2910.02287,4275.00,501.15500,0.57611,316835.500000,6276687.500000
316844.5,6276687.5,162.00,2967.53354,3240.12463,4363.00,501.18220,0.57453,316844.500000,6276687.500000
316853.5,6276687.5,163.00,3065.91035,3734.60341,4512.00,501.20860,0.57435,316853.500000,6276687.500000
316862.5,6276687.5,164.00,2214.09024,3580.46903,3789.00,501.23830,0.57434,316862.500000,6276687.500000
316871.5,6276687.5,165.00,2425.99900,3637.32746,3834.00,501.29240,0.57699,316871.500000,6276687.500000
316880.5,6276687.5,166.00,3416.73785,3678.61995,4394.00,501.35270,0.58294,316880.500000,6276687.500000
316889.5,6276687.5,167.00,3636.86382,3617.29380,4327.00,501.38790,0.58932,316889.500000,6276687.500000
316898.5,6276687.5,168.00,2903.47001,3337.58659,3701.00,501.38100,0.59345,316898.500000,6276687.500000
316907.5,6276687.5,169.00,3521.76533,3827.36049,4264.00,501.36900,0.58719,316907.500000,6276687.500000
316916.5,6276687.5,170.00,3805.30766,3641.79194,4424.00,501.36040,0.57988,316916.500000,6276687.500000
316925.5,6276687.5,171.00,3365.02957,3727.08782,4612.00,501.35940,0.57334,316925.500000,6276687.500000
316934.5,6276687.5,172.00,3254.28691,3688.09865,5191.00,501.36880,0.57080,316934.500000,6276687.500000
316943.5,6276687.5,173.00,3662.75379,3680.21680,4692.00,501.38970,0.57069,316943.500000,6276687.500000
316952.5,6276687.5,174.00,3538.06622,3557.33312,4495.00,501.41970,0.57065,316952.500000,6276687.500000
